Node Name,Related Nodes,Table Name,Column Name,PK Flag,FK Flag,FK Table,Audit Flag,Input Required Flag,Insert Required Flag,Default Value
PRODUCTS,PRODUCTS,PRODUCTS,PRODUCT_SYS_ID,1,,,,0,0,
PRODUCTS,PRODUCTS,PRODUCTS,PRODUCT_NAME,,,,,1,1,
PRODUCTS,PRODUCTS,PRODUCTS,PRODUCT_CODE,,,,,1,1,
PRODUCTS,PRODUCTS,PRODUCTS,PRODUCT_DESC,,,,,1,1,
PRODUCTS,PRODUCTS,PRODUCTS,ACTIVE_STATUS_IND,,,,,1,1,
PRODUCTS,PRODUCTS,PRODUCTS,CREATED_DATE,,,,1,0,1,now()
PRODUCTS,PRODUCTS,PRODUCTS,CREATED_BY,,,,1,0,1,admin
PRODUCTS,PRODUCTS,PRODUCTS,INACTIVATED_DATE,,,,1,0,0,
PRODUCTS,PRODUCTS,PRODUCTS,INACTIVATED_BY,,,,1,0,0,
PRODUCTS,PRODUCTS,PRODUCTS,MODIFIED_DATE,,,,1,0,0,
PRODUCTS,PRODUCTS,PRODUCTS,MODIFIED_BY,,,,1,0,0,
MODULES,MODULES,MODULES,MODULE_SYS_ID,1,,,,0,0,
MODULES,MODULES,MODULES,MODULE_NAME,,,,,1,1,
MODULES,MODULES,MODULES,MODULE_CODE,,,,,1,1,
MODULES,MODULES,MODULES,MODULE_DESC,,,,,1,1,
MODULES,MODULES,MODULES,ACTIVE_STATUS_IND,,,,,1,1,
MODULES,MODULES,MODULES,CREATED_DATE,,,,1,0,1,now()
MODULES,MODULES,MODULES,CREATED_BY,,,,1,0,1,admin
MODULES,MODULES,MODULES,INACTIVATED_DATE,,,,1,0,0,
MODULES,MODULES,MODULES,INACTIVATED_BY,,,,1,0,0,
MODULES,MODULES,MODULES,MODIFIED_DATE,,,,1,0,0,
MODULES,MODULES,MODULES,MODIFIED_BY,,,,1,0,0,
PRODUCT MODULES,"PRODUCTS|MODULES",PRODUCT_MODULES,PROD_MOD_SYS_ID,1,,,,0,0,
PRODUCT MODULES,"PRODUCTS|MODULES",PRODUCT_MODULES,PRODUCT_SYS_ID,,1,PRODUCTS,,1,1,
PRODUCT MODULES,"PRODUCTS|MODULES",PRODUCT_MODULES,MODULE_SYS_ID,,1,MODULES,,1,1,
PRODUCT MODULES,"PRODUCTS|MODULES",PRODUCT_MODULES,ACTIVE_STATUS_IND,,,,,1,1,
PRODUCT MODULES,"PRODUCTS|MODULES",PRODUCT_MODULES,CREATED_DATE,,,,1,0,1,now()
PRODUCT MODULES,"PRODUCTS|MODULES",PRODUCT_MODULES,CREATED_BY,,,,1,0,1,admin
PRODUCT MODULES,"PRODUCTS|MODULES",PRODUCT_MODULES,INACTIVATED_DATE,,,,1,0,0,
PRODUCT MODULES,"PRODUCTS|MODULES",PRODUCT_MODULES,INACTIVATED_BY,,,,1,0,0,
PRODUCT MODULES,"PRODUCTS|MODULES",PRODUCT_MODULES,MODIFIED_DATE,,,,1,0,0,
